,per_student_2008,percent_of_all_expenditures_2008,total_expenditure_2008
M015,334,0.015,87270
M019,148,0.006999999999999999,49974
M020,229,0.012,139827
M034,163,0.009000000000000001,68347
0,,,
M063,178,0.006999999999999999,36057
M064,178,0.008,52412
M110,127,0.006999999999999999,60689
M134,156,0.006999999999999999,57264
M137,326,0.011000000000000001,78959
M140,192,0.01,86262
M142,151,0.006,67807
M184,179,0.013000000000000001,102842
M188,286,0.013000000000000001,118252
M292,177,0.011000000000000001,91128
M301,239,0.013000000000000001,50517
M315,206,0.01,33639
M332,396,0.025,110359
M345,205,0.011000000000000001,57101
M361,135,0.006999999999999999,34732
M363,102,0.005,28064
M364,83,0.005,27531
0,,,
M448,238,0.016,139881
M450,104,0.006,57460
0,,,
M509,246,0.01,128412
M515,371,0.02,194221
M539,130,0.01,138425
M650,498,0.022000000000000002,106640
M696,255,0.017,138439
M839,216,0.013999999999999999,78459
M001,92,0.005,52295
M002,326,0.019,236728
M003,107,0.006999999999999999,62624
M006,71,0.005,57022
M011,284,0.016,145022
M033,175,0.008,58800
M040,148,0.009000000000000001,80686
M041,70,0.005,51712
M042,159,0.01,117118
M047,679,0.021,143277
M051,157,0.009000000000000001,52378
M059,163,0.011000000000000001,75162
M077,336,0.022000000000000002,119643
M089,199,0.011000000000000001,101662
M104,225,0.017,233925
M111,222,0.012,126987
M114,272,0.021,99151
M116,159,0.012,126055
M124,129,0.009000000000000001,128855
M126,181,0.01,130781
M130,139,0.01,149201
M131,175,0.009000000000000001,142570
M150,406,0.02,73553
0,,,
M158,101,0.006999999999999999,73889
M167,91,0.006999999999999999,114015
M183,104,0.006999999999999999,61009
M198,140,0.008,76668
M212,139,0.008,48123
M217,108,0.006,49197
M225,255,0.013999999999999999,72780
M234,118,0.008,88791
M255,214,0.017,82244
M260,100,0.006999999999999999,24384
0,,,
0,,,
M288,558,0.034,225913
M289,222,0.016,65390
M290,136,0.01,90467
M294,267,0.018000000000000002,91456
M296,71,0.005,26776
M298,228,0.016,93345
M300,597,0.042,232259
M303,313,0.018000000000000002,100054
M305,269,0.018000000000000002,67942
M308,293,0.017,70550
M312,80,0.006,46141
M313,272,0.017,55955
M316,146,0.01,42764
M347,790,0.018000000000000002,157223
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
M400,243,0.017,354959
M407,323,0.025,131348
M408,108,0.006999999999999999,46336
M411,181,0.013999999999999999,75403
M412,235,0.017,121965
M413,171,0.012,117243
M414,93,0.006999999999999999,39293
M416,375,0.019,181398
M418,130,0.006999999999999999,71162
M419,425,0.025,191372
M420,145,0.011000000000000001,219877
0,,,
M425,208,0.011000000000000001,144079
0,,,
M429,143,0.006999999999999999,54027
0,,,
0,,,
0,,,
M439,105,0.006,41594
M440,136,0.008,234932
M442,105,0.005,16947
0,,,
M449,283,0.016,117315
M459,462,0.027000000000000003,149291
M460,87,0.006,213197
M475,73,0.006,227296
M489,165,0.008,130095
M500,978,0.049,197528
0,,,
M519,128,0.009000000000000001,58854
M520,136,0.009000000000000001,378007
M529,121,0.008,84661
M531,218,0.011000000000000001,44472
0,,,
M542,496,0.027999999999999997,232513
M543,188,0.011000000000000001,78745
M544,242,0.012,100490
M545,271,0.013999999999999999,79232
M550,89,0.004,38102
0,,,
M560,85,0.005,59597
M565,354,0.013000000000000001,48881
M570,162,0.01,155055
M575,365,0.024,313079
M580,117,0.006999999999999999,72353
M586,589,0.017,54170
M600,191,0.012,315104
M605,109,0.006,19828
M615,260,0.015,246053
M620,153,0.009000000000000001,332661
M625,527,0.032,977651
