,per_student_2009,percent_of_all_expenditures_2009,total_expenditure_2009
M015,239,0.01,60293
M019,113,0.006,36749
M020,108,0.006,64259
M034,213,0.011000000000000001,90262
0,,,
M063,219,0.008,43653
M064,156,0.006999999999999999,46942
M110,95,0.005,44169
M134,120,0.006,46909
M137,229,0.006999999999999999,48767
M140,169,0.008,71918
M142,136,0.006,59694
M184,115,0.008,70394
M188,248,0.011000000000000001,100752
M292,126,0.006999999999999999,59242
M301,231,0.012,53293
M315,340,0.016,59084
M332,351,0.02,88379
M345,349,0.019,101859
M361,86,0.005,21747
M363,145,0.006999999999999999,43173
M364,91,0.005,31040
M378,892,0.04,69569
M448,144,0.009000000000000001,84344
M450,58,0.003,31888
0,,,
M509,280,0.012,123687
M515,335,0.017,171971
M539,122,0.01,159107
M650,577,0.021,123957
M696,152,0.011000000000000001,87427
M839,173,0.011000000000000001,65216
M001,127,0.006999999999999999,70717
M002,210,0.012,154675
M003,144,0.009000000000000001,92444
M006,120,0.008,95202
M011,270,0.015,141079
M033,120,0.006,38912
M040,154,0.009000000000000001,82501
M041,41,0.003,31575
M042,206,0.012,154235
M047,170,0.005,31064
M051,191,0.01,60820
M059,200,0.01,89205
M077,159,0.01,54226
M089,83,0.005,45370
M104,195,0.013999999999999999,190120
M111,75,0.004,41792
M114,85,0.006999999999999999,32473
M116,92,0.006,71941
M124,105,0.006999999999999999,103901
M126,240,0.013000000000000001,185348
M130,189,0.013000000000000001,202570
M131,91,0.005,69408
M150,163,0.008,30402
0,,,
M158,140,0.01,112050
M167,72,0.005,90267
M183,80,0.005,47117
M198,133,0.006999999999999999,73905
M212,133,0.008,45549
M217,104,0.006,46354
M225,154,0.009000000000000001,45989
M234,81,0.006,66070
M255,348,0.027000000000000003,142102
M260,208,0.015,56239
0,,,
0,,,
M288,470,0.028999999999999998,203668
M289,126,0.009000000000000001,37670
M290,82,0.006,52090
M294,271,0.018000000000000002,95756
M296,116,0.008,45068
M298,229,0.016,94067
M300,189,0.012,72669
M303,373,0.022000000000000002,154983
M305,162,0.01,45739
M308,340,0.019,100768
M312,96,0.006999999999999999,54403
M313,204,0.013999999999999999,50318
M316,150,0.006999999999999999,50265
M347,624,0.013000000000000001,122917
M374,194,0.012,74285
M376,1513,0.073,151280
0,,,
0,,,
0,,,
0,,,
0,,,
M400,114,0.008,169864
M407,270,0.022000000000000002,118442
M408,131,0.009000000000000001,58666
M411,82,0.006999999999999999,34437
M412,78,0.005,41621
M413,143,0.01,98482
M414,106,0.008,46765
M416,234,0.012,118449
M418,64,0.004,36736
M419,119,0.006999999999999999,52305
M420,117,0.009000000000000001,188794
0,,,
M425,124,0.006,82195
0,,,
M429,262,0.013000000000000001,99727
0,,,
0,,,
0,,,
M439,279,0.015,109843
M440,78,0.005,118271
M442,64,0.003,9258
0,,,
M449,340,0.02,148411
M459,233,0.013999999999999999,71734
M460,197,0.012,334706
M475,37,0.003,119226
M489,57,0.003,46869
M500,214,0.01,39225
0,,,
M519,89,0.006,38805
M520,116,0.006999999999999999,318814
M529,76,0.005,55055
M531,283,0.015,60754
0,,,
M542,717,0.039,340696
M543,130,0.006999999999999999,53078
M544,147,0.008,60842
M545,49,0.003,14343
M550,62,0.003,25594
0,,,
M560,66,0.004,47271
M565,186,0.006999999999999999,27414
M570,129,0.008,116218
M575,399,0.022000000000000002,308352
M580,202,0.012,124877
M586,930,0.028999999999999998,86524
M600,192,0.013000000000000001,323243
M605,121,0.006999999999999999,21440
M615,491,0.027000000000000003,377382
M620,197,0.012,424297
M625,343,0.02,618217
M630,346,0.023,478642
M655,305,0.019,208949
M690,76,0.002,9402
M896,32,0.002,7186
M009,237,0.015,123860
M044,221,0.008,63276
M054,144,0.009000000000000001,115963
M075,90,0.006,68343
M076,172,0.008,60900
M084,109,0.006,49890
M087,115,0.008,106059
M145,121,0.005,58920
M149,383,0.018000000000000002,157440
M163,96,0.005,60679
M165,106,0.006,69280
M166,80,0.005,49092
M180,272,0.015,163618
M185,96,0.004,25304
M191,113,0.006,55682
M199,134,0.008,107585
M208,51,0.002,10387
M241,279,0.011000000000000001,83382
M242,101,0.004,24448
M243,81,0.005,17308
0,,,
M245,106,0.008,38400
M246,270,0.012,33750
M247,830,0.046,161943
M250,166,0.009000000000000001,31202
M256,133,0.006,23047
M258,152,0.008,37969
M283,157,0.011000000000000001,60254
M299,136,0.008,55680
M307,389,0.025,140497
M333,182,0.01,130399
M334,149,0.012,76939
0,,,
0,,,
0,,,
M415,98,0.005,59298
0,,,
0,,,
0,,,
M470,110,0.006999999999999999,247699
M479,149,0.011000000000000001,168007
M485,77,0.005,193628
M492,269,0.013999999999999999,130502
M494,443,0.027000000000000003,268040
M505,576,0.027999999999999997,348675
M541,48,0.003,20712
0,,,
M860,142,0.009000000000000001,65509
M862,109,0.008,31712
M007,148,0.008,63838
M012,183,0.013999999999999999,85099
M013,120,0.005,35772
M037,452,0.022000000000000002,70898
M038,154,0.006999999999999999,53400
M045,89,0.004,34320
M050,111,0.005,53723
M057,351,0.02,260399
M072,254,0.013000000000000001,144111
M083,165,0.01,71763
M096,195,0.012,121493
0,,,
M101,854,0.026000000000000002,113639
M102,206,0.008,67298
M108,162,0.01,120696
M112,368,0.011000000000000001,124005
