,per_student_2009,percent_of_all_expenditures_2009,total_expenditure_2009
M117,223,0.006999999999999999,55895
M146,136,0.005,64585
M155,134,0.006,54436
M171,222,0.013000000000000001,144556
M182,138,0.009000000000000001,59190
M206,571,0.022000000000000002,144392
M224,74,0.005,20155
0,,,
M372,1737,0.064,191123
M375,568,0.027999999999999997,186150
M377,844,0.038,56515
M381,157,0.006,13512
0,,,
M409,131,0.006999999999999999,57059
M435,79,0.006,132741
M495,153,0.009000000000000001,57558
M497,73,0.004,14610
M555,242,0.013000000000000001,79238
M610,92,0.005,38715
M635,80,0.005,44537
M680,149,0.008,50881
M695,460,0.018000000000000002,44194
M825,272,0.015,90896
M964,52,0.002,10265
M030,359,0.01,133145
M036,64,0.003,32239
M046,88,0.005,62205
M092,390,0.013000000000000001,120948
M123,86,0.004,47470
M125,120,0.005,47214
M129,119,0.006,62035
M133,159,0.006,51155
M154,151,0.006999999999999999,62249
M161,82,0.004,64992
M172,164,0.004,18227
M175,92,0.005,32129
M194,108,0.004,30161
M195,118,0.005,74962
M197,144,0.006,70787
M200,116,0.006,73397
0,,,
M285,675,0.022000000000000002,121472
M286,519,0.025,106973
M302,262,0.017,73260
M304,343,0.023,138789
M317,157,0.008,30302
M318,97,0.005,17433
M344,162,0.01,41223
M362,914,0.061,175458
M367,219,0.013999999999999999,69051
M369,222,0.013000000000000001,48481
0,,,
M469,221,0.01,85556
M499,67,0.005,101156
0,,,
0,,,
M670,247,0.016,144004
M685,84,0.005,44010
M692,559,0.033,251195
M004,85,0.005,58954
M005,155,0.008,124576
M008,205,0.01,118780
M018,286,0.013000000000000001,112280
M028,184,0.01,168472
M048,224,0.01,120737
M052,75,0.004,68794
0,,,
M098,102,0.005,62830
M115,123,0.006,95730
M128,195,0.01,152277
M132,107,0.005,91088
M143,60,0.003,41342
M152,112,0.006,96945
M153,141,0.008,141612
0,,,
M173,134,0.006999999999999999,99791
M178,155,0.005,36395
M187,240,0.015,184562
M189,155,0.009000000000000001,163675
M192,197,0.008,86291
M210,183,0.009000000000000001,76681
M218,269,0.012,118917
M223,369,0.022000000000000002,154848
M278,101,0.006,48149
M293,182,0.011000000000000001,59518
M311,216,0.012,90029
M314,133,0.006999999999999999,36573
M319,156,0.008,75742
M321,249,0.012,75382
M322,291,0.015,136293
M324,154,0.006999999999999999,57176
M325,130,0.006999999999999999,62523
M326,444,0.022000000000000002,168142
M328,327,0.017,153798
M346,238,0.016,81665
M348,473,0.028999999999999998,156425
M349,634,0.031,100127
M366,86,0.005,11426
M368,174,0.009000000000000001,41673
0,,,
M462,427,0.024,289323
M463,93,0.006,59317
M467,129,0.008,88653
M468,238,0.013999999999999999,159530
M528,167,0.01,44795
M540,103,0.006999999999999999,140945
M552,92,0.005,37605
X001,496,0.027999999999999997,318244
X005,119,0.006,69779
X018,146,0.006999999999999999,69426
X025,123,0.005,44392
X029,520,0.027000000000000003,389817
X030,129,0.006,66282
X031,110,0.006,85498
X043,351,0.017,176025
X049,367,0.017,233573
X065,550,0.021,230956
X151,249,0.011000000000000001,64201
X154,123,0.006,64856
0,,,
X157,229,0.012,141414
X161,213,0.008,117289
X162,99,0.005,88659
X179,451,0.025,185990
0,,,
X203,255,0.01,91609
0,,,
X221,114,0.006999999999999999,66982
0,,,
X223,591,0.037000000000000005,266136
X224,148,0.008,52637
X277,236,0.012,128489
X296,544,0.023,136589
X298,167,0.008,46296
X321,361,0.015,52741
X334,837,0.047,215123
0,,,
X343,383,0.019,99670
X369,261,0.013000000000000001,76094
X379,177,0.006999999999999999,23160
X381,1044,0.042,108597
X385,1136,0.046,672594
X427,139,0.006999999999999999,48099
X473,330,0.019,108876
X495,150,0.009000000000000001,64773
X500,90,0.006,46361
X520,212,0.012,104171
0,,,
X527,594,0.036000000000000004,269224
X547,94,0.005,29987
X548,360,0.02,116761
X551,574,0.035,287917
X600,209,0.011000000000000001,245849
X655,217,0.012,282222
X670,227,0.013000000000000001,145721
X014,77,0.004,43335
X036,43,0.002,28358
X048,99,0.005,88928
X062,364,0.019,246106
X069,346,0.019,204166
X071,191,0.013000000000000001,312714
X072,91,0.004,83640
X075,91,0.005,64917
X093,290,0.011000000000000001,111269
X100,83,0.005,60092
X101,163,0.012,79265
X107,184,0.009000000000000001,100685
X119,116,0.006999999999999999,102965
X123,291,0.013999999999999999,157280
X125,264,0.013999999999999999,191007
X130,134,0.006999999999999999,76177
X131,80,0.005,72358
X138,65,0.004,61631
X140,374,0.02,217239
X146,432,0.023,199441
X152,117,0.006999999999999999,109689
X174,111,0.004,35068
X182,128,0.008,123500
X192,89,0.003,30044
0,,,
X269,282,0.015,59552
X282,57,0.004,16149
X293,121,0.009000000000000001,53459
X295,166,0.011000000000000001,78549
X301,212,0.01,79218
X302,260,0.013000000000000001,206986
X304,376,0.021,207008
X305,380,0.022000000000000002,144252
X312,202,0.013000000000000001,98476
X332,432,0.028999999999999998,126213
X333,189,0.01,194298
X335,189,0.01,194298
X337,245,0.013999999999999999,70006
X366,738,0.038,182992
X367,781,0.037000000000000005,167901
X371,393,0.025,115533
X375,433,0.027999999999999997,142145
X376,458,0.025,77804
X377,812,0.040999999999999995,164803
X405,99,0.006999999999999999,403385
X424,308,0.015,120137
0,,,
0,,,
X450,224,0.006,65309
X452,222,0.012,67670
0,,,
X519,385,0.021,157995
X530,413,0.026000000000000002,191873
0,,,
X540,102,0.005,38428
X560,122,0.006999999999999999,48951
X650,222,0.013000000000000001,330146
X686,1053,0.03,84258
X002,238,0.008,71529
X004,297,0.011000000000000001,144383
X011,230,0.013000000000000001,159015
X022,202,0.011000000000000001,128561
X028,224,0.012,169136
X035,604,0.037000000000000005,419759
X042,329,0.015,172514
X053,172,0.011000000000000001,230433
X055,52,0.002,34835
X058,415,0.02,205359
X063,130,0.006999999999999999,66475
X064,142,0.006999999999999999,122738
X070,284,0.018000000000000002,397318
X073,281,0.016,253719
X088,436,0.021,123289
X090,184,0.011000000000000001,213796
X109,354,0.021,258864
X110,150,0.006,56914
X114,232,0.012,174399
X117,129,0.006999999999999999,114133
X126,95,0.005,75970
X128,319,0.021,94196
X132,196,0.006999999999999999,114895
X145,283,0.013999999999999999,133751
X163,201,0.011000000000000001,134213
X166,63,0.003,50726
X170,558,0.03,141281
X199,364,0.02,277378
X204,400,0.019,136551
X215,694,0.045,258115
X218,244,0.015,219481
X219,248,0.011000000000000001,113240
X227,369,0.024,151693
X229,138,0.005,52168
X230,248,0.012,114968
X231,231,0.013999999999999999,97380
X232,600,0.027000000000000003,256829
X236,198,0.008,76400
X239,131,0.008,40379
X241,173,0.011000000000000001,72609
X250,341,0.025,149893
X252,128,0.008,52819
X260,538,0.039,225326
X263,264,0.017,112258
X276,316,0.02,103548
X297,312,0.018000000000000002,134946
X303,106,0.006999999999999999,37944
X313,290,0.015,118312
X323,115,0.006999999999999999,59853
X324,156,0.009000000000000001,30044
X325,411,0.023,195941
X327,332,0.02,77032
X328,458,0.023,126777
X329,298,0.02,89764
X339,175,0.009000000000000001,146727
X365,1227,0.07,241675
X403,432,0.024,149982
X404,179,0.01,80596
X412,224,0.01,104827
X413,182,0.011000000000000001,88676
X414,411,0.019,187825
0,,,
0,,,
0,,,
0,,,
X505,304,0.017,183034
X517,123,0.009000000000000001,68070
X525,367,0.022000000000000002,242659
X543,108,0.006,21722
X003,91,0.004,41791
X007,360,0.017,192941
X008,192,0.012,219113
X009,151,0.008,102352
X015,44,0.002,25637
X020,63,0.003,70581
X023,211,0.008,123609
X024,233,0.013000000000000001,178861
X032,92,0.005,74586
X033,128,0.006999999999999999,124500
X037,104,0.005,59915
X045,78,0.004,79906
X046,45,0.003,55294
X051,153,0.006999999999999999,44201
X054,408,0.02,209271
X056,381,0.023,224834
X059,229,0.009000000000000001,126409
X079,208,0.01,88999
X080,90,0.005,59415
X081,193,0.011000000000000001,134101
X085,125,0.006,146367
X086,83,0.005,138907
X091,354,0.02,271045
X094,152,0.008,141819
X095,157,0.009000000000000001,188142
X118,77,0.005,90186
X141,117,0.006999999999999999,149666
0,,,
X159,511,0.021,112896
X205,295,0.019,285695
X206,114,0.005,42394
X207,303,0.013000000000000001,146432
X209,305,0.016,75133
X213,246,0.015,91502
X225,237,0.016,120647
X226,321,0.016,137060
X228,157,0.006999999999999999,23831
X237,180,0.011000000000000001,72743
X243,133,0.008,75449
X244,827,0.048,625327
X246,71,0.004,56878
X254,143,0.006999999999999999,70730
X268,1038,0.065,453457
X279,139,0.006999999999999999,134496
X280,426,0.027000000000000003,330366
X284,229,0.015,100020
X291,168,0.01,93686
X306,197,0.009000000000000001,143885
X307,589,0.027000000000000003,188419
X308,220,0.01,68536
X310,188,0.01,135425
X315,192,0.009000000000000001,46513
X319,510,0.02,102071
X331,497,0.025,210853
X340,226,0.013000000000000001,112754
X342,248,0.015,123575
X344,316,0.016,28731
X360,230,0.013999999999999999,111889
0,,,
X368,137,0.008,138110
X374,98,0.006,21697
X382,1010,0.055,263482
X386,604,0.031,186648
X390,387,0.019,193414
X391,201,0.01,148821
X396,266,0.008,67595
X397,2434,0.113,206860
X399,182,0.009000000000000001,127810
0,,,
0,,,
X433,292,0.018000000000000002,165125
X434,87,0.004,34564
0,,,
X437,578,0.027999999999999997,224912
X438,105,0.005,55065
X439,730,0.039,321352
X440,77,0.005,337732
X442,191,0.011000000000000001,69492
X445,93,0.008,260483
0,,,
0,,,
X475,144,0.008,244753
X477,53,0.004,22826
0,,,
0,,,
X546,343,0.021,142506
X549,483,0.03,216360
X660,246,0.013999999999999999,365390
X696,265,0.017,91649
X016,359,0.022000000000000002,233612
X019,127,0.008,63885
X021,164,0.01,140468
X041,113,0.006999999999999999,99245
X068,177,0.008,136152
X076,291,0.019,320507
X078,82,0.004,63713
X083,97,0.006,155750
X087,128,0.006999999999999999,66550
X089,64,0.004,84527
X096,224,0.013000000000000001,225275
X097,65,0.004,47145
X103,117,0.006999999999999999,126194
X105,179,0.011000000000000001,265962
X106,379,0.024,471358
X108,64,0.004,38107
X111,229,0.01,148577
X112,311,0.015,182541
0,,,
X121,119,0.006999999999999999,100992
X127,222,0.012,157656
0,,,
X142,100,0.006,103712
X144,80,0.004,87346
X153,187,0.006999999999999999,108587
X160,197,0.006999999999999999,96715
0,,,
X175,73,0.004,28001
X178,91,0.004,43129
X180,388,0.013999999999999999,264019
X181,145,0.006999999999999999,84039
X189,105,0.006,45219
X194,196,0.013000000000000001,255600
X249,94,0.006,33181
X253,154,0.01,69375
X265,220,0.013999999999999999,93067
X270,280,0.019,153143
X272,247,0.015,128665
X275,1146,0.067,561642
X287,114,0.006999999999999999,39674
X288,133,0.009000000000000001,61433
X289,397,0.026000000000000002,191566
X290,163,0.011000000000000001,78508
X299,236,0.015,103584
X322,376,0.023,205496
X326,327,0.021,154643
X370,445,0.028999999999999998,137174
X415,100,0.005,148371
X418,310,0.016,113615
0,,,
X455,447,0.027999999999999997,1059
0,,,
0,,,
0,,,
0,,,
0,,,
X513,124,0.006999999999999999,34077
X514,124,0.008,40802
0,,,
0,,,
X541,262,0.016,119560
X542,494,0.034,236027
X544,454,0.027999999999999997,210260
X545,300,0.015,121686
X006,188,0.01,141628
X044,68,0.003,25087
X047,321,0.02,369598
X050,204,0.009000000000000001,115428
X057,540,0.026000000000000002,245569
X061,141,0.006999999999999999,50307
X066,211,0.009000000000000001,124062
X067,171,0.009000000000000001,124358
X092,220,0.011000000000000001,118203
X098,215,0.009000000000000001,92386
X102,194,0.01,200047
X129,183,0.01,95586
X134,132,0.006999999999999999,87713
X150,59,0.003,45602
0,,,
X190,93,0.004,21865
0,,,
X195,94,0.005,44481
X196,416,0.025,210682
X197,384,0.024,220119
X198,1067,0.032,434253
X211,64,0.003,44855
X212,260,0.012,121552
X214,120,0.006,97859
X216,91,0.004,20999
X217,94,0.004,35761
0,,,
X242,226,0.013999999999999999,56634
X245,461,0.027999999999999997,220739
X248,767,0.04,256260
X251,695,0.042,245965
X262,406,0.026000000000000002,166104
X267,625,0.036000000000000004,192544
X271,276,0.016,171102
X273,523,0.028999999999999998,129073
X278,81,0.005,27374
X286,299,0.016,69337
X300,130,0.008,82810
X316,548,0.031,137008
X318,202,0.009000000000000001,72620
X341,399,0.02,67890
X372,253,0.016,66688
X383,683,0.027999999999999997,41687
X384,495,0.024,55484
X388,2931,0.133,272574
0,,,
0,,,
0,,,
0,,,
X480,150,0.008,54742
0,,,
0,,,
0,,,
0,,,
X550,638,0.034,186360
X680,195,0.01,56267
X682,493,0.027000000000000003,247136
X684,136,0.006999999999999999,72322
X690,278,0.013999999999999999,145478
X691,929,0.05,166243
X692,629,0.039,313350
K003,63,0.004,36651
K008,112,0.006999999999999999,59473
K009,181,0.009000000000000001,93688
K011,116,0.006999999999999999,60211
K020,94,0.006,37250
K044,54,0.003,26346
K046,138,0.006,47939
K054,86,0.003,23927
K056,314,0.013999999999999999,101319
K067,111,0.005,24865
K093,146,0.008,60463
K103,138,0.008,37168
K113,139,0.008,125940
K117,106,0.003,12948
K133,163,0.006,46090
K256,54,0.002,20848
K258,122,0.003,14339
K265,69,0.004,37649
K266,90,0.005,18150
K270,113,0.005,28144
K282,318,0.025,273609
K287,720,0.025,128829
K301,575,0.037000000000000005,150118
K305,54,0.003,21981
K307,109,0.004,28106
K313,198,0.011000000000000001,53244
K336,94,0.005,18919
K350,405,0.028999999999999998,154203
K412,772,0.05,249982
K419,103,0.008,98162
K430,186,0.016,865577
K439,425,0.027000000000000003,172173
K483,227,0.017,102060
K492,249,0.017,69018
K499,377,0.023,279061
K509,127,0.006999999999999999,39993
K527,347,0.023,86873
K553,386,0.016,99153
K571,119,0.006,29539
K575,419,0.013000000000000001,48224
K592,465,0.017,23730
K595,141,0.008,47402
K596,303,0.021,41822
K605,194,0.009000000000000001,177513
K616,777,0.037000000000000005,117274
K670,73,0.005,62821
0,,,
0,,,
K016,58,0.003,20212
K017,166,0.008,66246
K018,86,0.005,21249
K019,83,0.004,37545
K023,193,0.01,62201
K031,133,0.008,70226
0,,,
K034,166,0.011000000000000001,81015
K049,265,0.006,27573
K050,252,0.013999999999999999,159477
K059,175,0.01,85691
K071,175,0.008,161417
K084,188,0.008,85535
K110,196,0.009000000000000001,72838
K120,141,0.008,68818
K126,350,0.015,166064
K132,200,0.013000000000000001,141111
K147,453,0.017,115604
K157,106,0.005,38609
K196,246,0.011000000000000001,105229
K250,82,0.006,69910
K257,87,0.004,48885
K297,133,0.006,46039
K318,218,0.015,330770
K319,197,0.01,33611
K322,181,0.011000000000000001,57535
K330,119,0.006,19694
K380,335,0.015,165943
K404,282,0.019,84878
K449,339,0.018000000000000002,61986
K454,357,0.024,106534
K474,171,0.011000000000000001,165394
K477,83,0.005,65706
K478,220,0.013000000000000001,190152
K488,266,0.017,102300
K558,232,0.015,89859
K561,93,0.006,43689
K577,380,0.024,148217
K582,229,0.013000000000000001,70595
K586,337,0.021,112876
K610,408,0.023,410920
K614,1079,0.051,77706
K632,1520,0.07400000000000001,124636
0,,,
K685,322,0.013999999999999999,56633
K001,117,0.006999999999999999,129756
K010,234,0.011000000000000001,151549
K015,188,0.008,73232
K024,296,0.015,227327
K027,239,0.008,129559
K029,95,0.006999999999999999,61772
K032,217,0.006,66486
K038,240,0.013000000000000001,114537
K039,96,0.006,32603
K051,78,0.006,78530
K058,328,0.018000000000000002,197206
K088,285,0.013999999999999999,241586
K094,220,0.013999999999999999,215853
K107,289,0.019,136316
K124,177,0.009000000000000001,56571
K130,191,0.012,100895
K131,219,0.013999999999999999,188109
K136,681,0.032,324739
K146,79,0.004,44044
K154,131,0.008,57369
K169,437,0.027999999999999997,530379
K172,288,0.017,164989
K230,82,0.005,100142
K261,69,0.004,56452
K295,424,0.021,170435
K321,94,0.006999999999999999,121985
0,,,
0,,,
0,,,
K429,276,0.013999999999999999,146113
K442,183,0.006999999999999999,39901
K443,459,0.027999999999999997,195564
K447,90,0.005,46595
K448,181,0.011000000000000001,121986
K462,103,0.006,59531
K463,67,0.004,36110
K464,139,0.009000000000000001,67082
K497,220,0.011000000000000001,103077
K519,176,0.011000000000000001,136395
K520,464,0.026000000000000002,131893
K529,730,0.028999999999999998,148119
K530,141,0.009000000000000001,53983
K656,46,0.003,26358
0,,,
0,,,
0,,,
K698,775,0.032,130151
K821,132,0.009000000000000001,67052
K005,186,0.008,79208
K021,217,0.013999999999999999,153245
K025,287,0.011000000000000001,103276
K026,116,0.006,43346
K028,428,0.017,107480
K035,213,0.009000000000000001,48266
K040,161,0.006999999999999999,58575
K057,208,0.009000000000000001,51708
K081,155,0.008,70581
0,,,
K243,197,0.008,70741
K262,273,0.013999999999999999,101644
K267,95,0.004,36935
0,,,
K308,52,0.003,40016
K309,108,0.004,39730
K335,107,0.005,43483
K385,91,0.004,25499
K393,210,0.013000000000000001,105604
K455,96,0.006,271704
K498,182,0.009000000000000001,86071
K534,666,0.032,169097
K584,92,0.005,27787
K594,986,0.057,148859
K627,526,0.022000000000000002,42642
K628,2022,0.092,135470
K636,163,0.008,38260
0,,,
K002,293,0.012,127840
K006,240,0.013000000000000001,154482
K012,645,0.023,169661
K022,209,0.009000000000000001,112224
K061,104,0.006,111298
K091,213,0.011000000000000001,162069
K092,86,0.004,54263
0,,,
K138,109,0.006,98995
K161,106,0.006999999999999999,97379
K167,184,0.009000000000000001,93275
K181,101,0.006,121380
K189,404,0.027000000000000003,457946
K191,387,0.018000000000000002,113354
K221,142,0.008,90805
K241,251,0.013000000000000001,142831
K246,495,0.021,332658
K249,287,0.017,209298
K289,123,0.006,91130
K316,601,0.021,182099
K334,183,0.009000000000000001,44513
K340,373,0.025,118742
K352,363,0.018000000000000002,162597
K353,136,0.006,23711
K354,349,0.016,86484
K375,267,0.013999999999999999,150479
K382,103,0.008,51581
0,,,
0,,,
K394,179,0.01,125865
K397,239,0.013999999999999999,102000
K398,244,0.009000000000000001,93831
K399,150,0.01,71416
K408,479,0.033,128492
0,,,
0,,,
0,,,
0,,,
0,,,
K484,201,0.01,31583
K489,246,0.01,73998
K524,644,0.037000000000000005,273771
K528,228,0.015,98622
K531,98,0.006,39077
K533,369,0.022000000000000002,163294
K537,331,0.02,139558
K539,155,0.01,65334
K543,152,0.01,75787
K544,408,0.025,186474
K546,174,0.012,70454
K547,193,0.012,88970
K548,164,0.009000000000000001,65794
K568,616,0.023,137421
K587,63,0.003,22455
K590,59,0.005,51870
K600,178,0.011000000000000001,374106
K625,128,0.008,150170
0,,,
0,,,
K066,96,0.006,68394
K068,112,0.006,119824
K114,109,0.006999999999999999,96757
K115,179,0.012,223019
K135,123,0.006999999999999999,92465
K208,112,0.006999999999999999,72743
K211,113,0.005,86364
K219,181,0.01,149362
K232,181,0.006999999999999999,43042
K233,146,0.008,105296
K235,51,0.004,70498
K244,146,0.006999999999999999,130272
K252,685,0.018000000000000002,86286
K268,51,0.003,27691
K272,133,0.006,87895
K276,351,0.02,303615
K279,188,0.009000000000000001,123141
K285,66,0.005,69651
0,,,
K415,74,0.004,51496
K500,105,0.006999999999999999,173680
K515,211,0.009000000000000001,80824
K563,669,0.04,127818
K566,189,0.009000000000000001,27398
K567,255,0.013999999999999999,44637
K569,176,0.01,24659
K576,242,0.013999999999999999,38399
K578,478,0.023,76466
K581,789,0.039,112780
K588,403,0.023,70127
K589,172,0.009000000000000001,24293
K598,752,0.044000000000000004,134570
K617,1957,0.09300000000000001,156545
K629,741,0.028999999999999998,58525
K633,190,0.011000000000000001,21486
K635,1471,0.061,219121
K637,1377,0.057,84016
K642,1047,0.063,113040
0,,,
K007,309,0.02,285535
K013,211,0.01,122529
K065,284,0.016,159041
K072,98,0.005,76818
K089,337,0.018000000000000002,86845
K108,155,0.01,149902
K149,129,0.006999999999999999,103146
K158,165,0.009000000000000001,99568
K159,124,0.006999999999999999,112890
K166,397,0.02,215415
K171,75,0.005,64153
K174,503,0.025,237009
K190,633,0.024,203729
K202,93,0.006,95354
K213,306,0.015,143135
K214,239,0.013999999999999999,253326
K218,73,0.004,58370
K224,204,0.012,170920
K260,47,0.002,18743
K273,172,0.009000000000000001,81585
K290,93,0.005,54785
K292,103,0.006,72600
K302,112,0.006,106462
K306,43,0.002,29624
K311,265,0.015,67429
0,,,
K328,96,0.004,56831
K345,92,0.005,67339
K346,109,0.006,85135
K364,81,0.004,31788
K409,106,0.006999999999999999,47798
K420,105,0.006,188718
0,,,
K452,152,0.01,34441
K502,63,0.004,25133
K504,165,0.011000000000000001,70213
K507,308,0.019,129811
K510,153,0.01,58425
K583,739,0.049,157490
K615,91,0.006,144690
K618,653,0.032,62712
K639,1283,0.07,133419
K659,153,0.011000000000000001,49094
K660,128,0.006,126072
0,,,
0,,,
0,,,
0,,,
K030,120,0.006999999999999999,38261
K048,134,0.008,82517
K062,147,0.008,168609
K069,277,0.016,231057
K102,223,0.013999999999999999,257188
K104,118,0.009000000000000001,150877
K105,280,0.018000000000000002,387584
K112,152,0.01,67907
K127,280,0.015,108103
K160,387,0.027000000000000003,319086
K163,170,0.008,81694
K164,205,0.008,96360
K170,218,0.013000000000000001,178657
K176,210,0.013000000000000001,237271
K179,109,0.006,98364
K180,261,0.013999999999999999,269875
K185,255,0.018000000000000002,208614
K186,301,0.018000000000000002,260354
K187,209,0.013000000000000001,198703
K192,801,0.028999999999999998,427731
K200,238,0.017,298351
K201,293,0.022000000000000002,477031
K204,54,0.004,53424
K205,157,0.006999999999999999,144198
K220,562,0.035,716929
K223,86,0.004,54972
K227,61,0.003,82962
K229,97,0.006999999999999999,64230
K247,260,0.017,177822
K259,224,0.016,311671
0,,,
0,,,
0,,,
K445,96,0.006999999999999999,269349
K485,373,0.024,466701
K490,173,0.013000000000000001,728251
K503,172,0.01,138593
K505,94,0.006999999999999999,321833
K506,271,0.016,202382
K609,477,0.028999999999999998,70640
0,,,
0,,,
0,,,
0,,,
K090,153,0.006999999999999999,75924
K095,118,0.006999999999999999,118897
K096,115,0.006999999999999999,126293
K097,114,0.008,87397
K098,53,0.004,56210
K099,86,0.005,61078
K100,266,0.017,181761
K101,308,0.022000000000000002,263007
K121,275,0.013000000000000001,70478
K128,343,0.018000000000000002,124250
K153,61,0.003,32880
K177,179,0.011000000000000001,153781
K188,195,0.01,114803
K199,156,0.008,78956
K209,157,0.009000000000000001,106572
K212,90,0.005,51640
K215,231,0.013999999999999999,157226
K216,210,0.011000000000000001,96097
K225,287,0.013999999999999999,265142
K226,101,0.005,79390
K228,98,0.006,90457
K238,415,0.013999999999999999,216855
K239,227,0.016,292975
K253,174,0.01,104700
