,per_student_2012,percent_of_all_expenditures_2012,total_expenditure_2012
M015,281,0.01,53084
M019,202,0.009000000000000001,66100
M020,67,0.003,41737
M034,256,0.011000000000000001,102782
M056,,,
M063,224,0.006999999999999999,39344
M064,170,0.006999999999999999,55018
M110,85,0.005,37203
M134,60,0.003,22211
M137,65,0.002,14904
M140,206,0.01,84033
M142,59,0.003,25501
M184,217,0.015,149995
M188,232,0.011000000000000001,89979
M292,304,0.016,128301
M301,44,0.002,7472
M315,258,0.013000000000000001,62921
M332,148,0.005,17002
M345,98,0.004,24109
M361,137,0.006999999999999999,33787
M363,56,0.003,17592
M364,129,0.006999999999999999,43446
M378,618,0.03,167427
M448,92,0.005,36403
M450,41,0.002,24536
M458,168,0.011000000000000001,37670
M509,86,0.004,31708
M515,501,0.025,281296
M539,77,0.006,124171
M650,295,0.017,64347
M696,146,0.011000000000000001,90161
M839,57,0.003,21812
M001,36,0.002,18782
M002,73,0.004,59574
M003,103,0.006999999999999999,83628
M006,56,0.004,44080
M011,89,0.005,62224
M033,150,0.008,68570
M040,155,0.01,95152
M041,91,0.006,71552
M042,59,0.003,47478
M047,715,0.023,124430
M051,68,0.002,19494
M059,121,0.006999999999999999,62923
M077,113,0.006,39725
M089,61,0.003,32180
M104,335,0.022000000000000002,354573
M111,96,0.005,56061
M114,92,0.006,41036
M116,76,0.005,59625
M124,112,0.006999999999999999,102755
M126,25,0.001,19998
M130,74,0.005,75116
M131,118,0.005,65706
M150,49,0.002,9032
M151,370,0.017,103490
M158,48,0.003,36679
M167,63,0.005,78239
M183,77,0.005,46616
M198,130,0.006999999999999999,71506
M212,225,0.013999999999999999,77168
M217,28,0.002,11653
M225,155,0.009000000000000001,49682
M234,54,0.004,44282
M255,121,0.008,46762
M260,176,0.005,45100
M267,625,0.027999999999999997,61210
M276,165,0.012,91174
M288,575,0.031,248819
M289,172,0.01,50299
M290,48,0.003,30617
M294,192,0.01,65980
M296,716,0.046,299799
M298,158,0.011000000000000001,65449
M300,297,0.017,128014
M303,294,0.016,132670
M305,405,0.024,126309
M308,127,0.006999999999999999,42732
M312,86,0.006,49448
M313,186,0.01,46029
M316,97,0.004,36629
M347,208,0.004,44778
M374,136,0.009000000000000001,67081
M376,71,0.005,30781
M392,175,0.011000000000000001,58074
