,per_student_2010,percent_of_all_expenditures_2010,total_expenditure_2010
M015,194,0.006999999999999999,40332
M019,80,0.004,25709
M020,245,0.012,145483
M034,244,0.011000000000000001,100040
0,,,
M063,237,0.008,43447
M064,76,0.003,22077
M110,272,0.015,129178
M134,338,0.016,126952
M137,582,0.019,130424
M140,343,0.016,142880
M142,339,0.013999999999999999,140957
M184,121,0.008,78213
M188,412,0.018000000000000002,159603
M292,348,0.021,177832
M301,70,0.004,16128
M315,156,0.006999999999999999,29744
M332,860,0.035,153076
M345,480,0.024,122867
M361,108,0.006,28262
M363,103,0.005,31866
M364,88,0.005,30249
M378,546,0.027999999999999997,88940
M448,297,0.017,158228
M450,51,0.003,28449
0,,,
M509,340,0.013999999999999999,119631
M515,310,0.016,170783
M539,145,0.012,214456
M650,539,0.025,121736
M696,259,0.017,151475
M839,103,0.006,39068
M001,220,0.012,119371
M002,287,0.016,229507
M003,206,0.012,128985
M006,50,0.003,40013
M011,193,0.01,110015
M033,102,0.005,36050
M040,107,0.006999999999999999,62414
M041,46,0.003,34741
M042,331,0.019,263782
M047,469,0.013000000000000001,73703
M051,162,0.009000000000000001,52477
M059,145,0.006999999999999999,69752
M077,158,0.009000000000000001,55826
M089,224,0.013000000000000001,122004
M104,107,0.006999999999999999,106206
M111,62,0.003,36501
M114,105,0.008,40668
M116,74,0.005,58042
M124,139,0.009000000000000001,133953
M126,193,0.011000000000000001,151922
M130,182,0.012,186909
M131,303,0.016,240345
M150,670,0.032,121313
M151,907,0.021,65313
M158,152,0.01,113792
M167,58,0.004,71237
M183,106,0.006999999999999999,68269
M198,119,0.006,64671
M212,134,0.008,46173
M217,68,0.003,27668
M225,147,0.008,48003
M234,172,0.012,140718
M255,335,0.024,136080
M260,216,0.013999999999999999,58036
0,,,
M276,3543,0.136,180683
M288,343,0.019,149671
M289,344,0.022000000000000002,102399
M290,116,0.008,74580
M294,411,0.025,150057
M296,392,0.026000000000000002,151401
M298,364,0.024,150490
M300,194,0.011000000000000001,71206
M303,182,0.01,72903
M305,427,0.026000000000000002,121181
M308,639,0.035,198607
M312,111,0.008,62591
M313,634,0.038,156584
M316,436,0.015,152484
M347,714,0.015,151316
M374,76,0.004,30393
M376,642,0.044000000000000004,128420
M392,1345,0.068,164067
M393,892,0.040999999999999995,91872
M394,2418,0.121,362741
M397,2946,0.11699999999999999,141396
M399,1652,0.08,165219
M400,98,0.006999999999999999,139134
M407,159,0.012,77135
M408,67,0.004,31167
M411,137,0.009000000000000001,60343
M412,49,0.003,25581
M413,76,0.005,52344
M414,112,0.008,52246
M416,277,0.013000000000000001,138137
M418,179,0.01,110813
M419,93,0.006,42112
M420,105,0.008,178353
M422,2064,0.086,150708
M425,249,0.012,160747
0,,,
M429,236,0.012,92986
0,,,
0,,,
0,,,
M439,193,0.011000000000000001,86625
M440,138,0.008,136857
M442,188,0.009000000000000001,27116
0,,,
M449,92,0.005,39467
M459,185,0.011000000000000001,57228
M460,115,0.006999999999999999,171338
M475,41,0.003,134014
M489,194,0.009000000000000001,160082
M500,1116,0.047,257836
0,,,
M519,177,0.012,74160
M520,146,0.009000000000000001,375295
M529,93,0.006,66015
M531,159,0.008,34244
0,,,
M542,474,0.027000000000000003,241148
M543,323,0.019,132898
M544,128,0.006999999999999999,55790
M545,97,0.005,31439
M550,77,0.004,32140
0,,,
M560,155,0.008,112748
M565,94,0.004,13659
M570,178,0.011000000000000001,162416
M575,283,0.016,244305
M580,132,0.006999999999999999,81347
M586,340,0.009000000000000001,33293
M600,128,0.008,213583
M605,272,0.013999999999999999,50650
M615,181,0.01,110410
M620,154,0.009000000000000001,329486
M625,222,0.013000000000000001,405432
M630,215,0.015,297804
M655,159,0.01,111133
M690,416,0.01,22030
M896,87,0.005,18253
M009,177,0.01,100187
M044,267,0.009000000000000001,44350
M054,81,0.006,65677
M075,84,0.005,61680
M076,228,0.012,102038
M084,138,0.008,67174
M087,93,0.006,93714
M145,65,0.003,30630
M149,340,0.016,145202
M163,67,0.004,42574
M165,86,0.005,59424
M166,100,0.006,61056
M180,143,0.008,88291
M185,483,0.019,115432
M191,98,0.005,46940
M199,292,0.017,214421
M208,111,0.005,22857
M241,805,0.03,186808
M242,117,0.005,25570
M243,96,0.006,20184
0,,,
M245,73,0.006,28812
M246,86,0.003,4571
M247,539,0.03,103414
M250,232,0.011000000000000001,42922
M256,84,0.004,15521
M258,111,0.006,28216
M283,125,0.009000000000000001,49781
M299,226,0.012,95715
M307,272,0.017,100143
M333,77,0.004,53537
M334,263,0.019,147843
M402,1997,0.08,189670
M403,1353,0.059000000000000004,140744
M404,1778,0.092,220456
M415,58,0.003,31284
0,,,
M421,986,0.04,72994
0,,,
M470,53,0.003,83343
M479,93,0.006999999999999999,106322
M485,79,0.005,198727
M492,163,0.008,76810
M494,98,0.006,58263
M505,458,0.023,271689
M541,70,0.005,30641
M859,137,0.006999999999999999,18388
M860,168,0.01,74241
M862,181,0.013000000000000001,52378
M007,59,0.004,26521
M012,239,0.018000000000000002,111469
M013,148,0.006999999999999999,45712
M037,451,0.022000000000000002,87056
M038,235,0.01,72146
M045,498,0.022000000000000002,178259
M050,263,0.011000000000000001,115005
M057,315,0.018000000000000002,237791
M072,108,0.005,59864
M083,174,0.01,76534
M096,89,0.005,51173
0,,,
M101,301,0.008,21039
M102,119,0.004,37751
M108,60,0.004,43986
M112,214,0.006,70286
M117,620,0.015,85597
M146,152,0.005,72923
M155,251,0.012,101075
M171,57,0.003,36997
M182,173,0.011000000000000001,75574
M206,425,0.016,96439
M224,653,0.039,169154
0,,,
M372,854,0.037000000000000005,172470
M375,129,0.006,38005
M377,447,0.021,55478
M381,554,0.021,84155
M406,3037,0.095,167057
M409,126,0.006,48626
M435,72,0.005,122524
M495,121,0.006,44446
M497,197,0.01,40112
M555,123,0.006999999999999999,40731
M610,136,0.008,59352
M635,203,0.012,88907
M680,65,0.004,20573
M695,396,0.012,16630
M825,278,0.016,100587
M964,179,0.008,39102
M030,223,0.006,66286
M036,79,0.004,47297
M046,66,0.004,48037
M092,127,0.004,36367
M123,88,0.004,54453
M125,183,0.006,43616
M129,80,0.004,46497
M133,67,0.003,21520
M154,151,0.006,60209
M161,193,0.01,170776
0,,,
M175,85,0.005,35250
M194,212,0.008,59732
M195,161,0.006999999999999999,88759
M197,83,0.003,30601
M200,69,0.003,35848
0,,,
M285,109,0.005,24524
M286,411,0.021,104461
M302,109,0.006,28428
M304,135,0.009000000000000001,54728
M317,221,0.009000000000000001,30746
M318,196,0.011000000000000001,40135
M344,131,0.006999999999999999,25356
M362,792,0.059000000000000004,228147
M367,226,0.013000000000000001,89622
M369,348,0.024,115114
M410,1628,0.068,117237
M469,206,0.01,85729
M499,127,0.009000000000000001,202405
0,,,
0,,,
M670,137,0.009000000000000001,78150
M685,47,0.003,24103
M692,656,0.036000000000000004,278012
M004,134,0.006,86486
M005,77,0.004,60466
M008,76,0.004,44740
M018,151,0.006999999999999999,60793
M028,117,0.006,101137
M048,71,0.004,43370
M052,62,0.003,51088
0,,,
M098,135,0.006999999999999999,94419
M115,178,0.009000000000000001,116279
M128,284,0.013999999999999999,208611
M132,85,0.004,66506
M143,68,0.003,51029
M152,141,0.006999999999999999,115953
M153,89,0.005,88870
0,,,
M173,49,0.003,34848
M178,169,0.005,38595
M187,146,0.009000000000000001,114332
M189,185,0.011000000000000001,197590
M192,472,0.02,179260
M210,81,0.004,35703
M218,95,0.004,34991
M223,126,0.006999999999999999,46614
M278,62,0.003,30294
M293,167,0.01,69221
M311,172,0.01,74307
M314,214,0.012,56162
M319,188,0.01,101176
M321,110,0.005,19307
M322,312,0.017,153068
M324,273,0.013000000000000001,115127
M325,113,0.005,43556
M326,362,0.017,134642
M328,273,0.013000000000000001,119480
M346,390,0.02,168396
M348,373,0.022000000000000002,159326
M349,608,0.028999999999999998,96002
M366,23,0.001,3629
M368,66,0.004,15401
M423,1784,0.061,148113
M462,169,0.01,112519
