,per_student_2010,percent_of_all_expenditures_2010,total_expenditure_2010
M463,189,0.012,117459
M467,100,0.006,67721
M468,172,0.01,112972
M528,101,0.006,27259
M540,299,0.02,440252
M552,317,0.018000000000000002,153970
X001,517,0.03,360917
X005,115,0.006,67494
X018,251,0.012,130608
X025,319,0.013999999999999999,115320
X029,157,0.008,118713
X030,266,0.012,131214
X031,69,0.003,49550
X043,360,0.016,166920
X049,237,0.011000000000000001,154617
X065,354,0.016,152426
X151,455,0.019,127449
X154,87,0.004,46563
0,,,
X157,130,0.006,76938
X161,224,0.009000000000000001,133979
X162,69,0.003,57866
X179,168,0.009000000000000001,68174
0,,,
X203,174,0.006,51370
0,,,
X221,102,0.006,59122
0,,,
X223,857,0.051,401966
X224,320,0.017,111033
X277,317,0.015,164646
X296,509,0.022000000000000002,117995
X298,136,0.006,30709
X321,183,0.006999999999999999,25027
X334,517,0.031,183125
0,,,
X343,492,0.025,115670
X369,123,0.006,35801
X379,519,0.021,78875
X381,548,0.02,61404
X385,330,0.013999999999999999,200224
X427,129,0.006999999999999999,44223
X473,111,0.006,37722
X495,44,0.003,19837
X500,97,0.006999999999999999,54504
X520,105,0.005,47758
0,,,
X527,224,0.012,100017
X547,297,0.013999999999999999,92076
X548,216,0.011000000000000001,73822
X551,283,0.017,164609
X600,254,0.012,278082
X655,263,0.013000000000000001,287977
X670,207,0.011000000000000001,127696
X014,113,0.006,63333
X036,122,0.006999999999999999,87699
X048,100,0.005,91407
X062,306,0.017,220360
X069,163,0.009000000000000001,97015
X071,344,0.022000000000000002,561219
X072,153,0.008,148767
X075,234,0.011000000000000001,152958
X093,103,0.004,41412
X100,80,0.004,56047
X101,114,0.008,53681
X107,107,0.005,58904
X119,213,0.013999999999999999,203564
X123,396,0.021,224463
X125,139,0.006999999999999999,97551
X130,199,0.009000000000000001,107845
X131,142,0.008,125207
X138,137,0.008,133634
X140,112,0.006,67336
X146,209,0.011000000000000001,102945
X152,164,0.009000000000000001,150477
0,,,
X182,94,0.006,93580
0,,,
0,,,
X269,98,0.005,29880
X282,216,0.015,66008
X293,234,0.015,107184
X295,280,0.016,141830
X301,190,0.009000000000000001,61851
X302,117,0.005,91461
X304,126,0.006999999999999999,68526
X305,240,0.013000000000000001,93971
X312,61,0.004,30762
X332,312,0.019,108366
X333,74,0.004,35375
X335,107,0.006,22167
X337,206,0.011000000000000001,59396
X366,102,0.005,38408
X367,318,0.015,97632
X371,203,0.011000000000000001,78550
X375,355,0.019,154948
X376,143,0.008,40667
X377,554,0.023,105238
X405,63,0.005,260376
X424,87,0.004,34766
0,,,
X448,709,0.04,96443
0,,,
X452,314,0.015,100336
X467,1464,0.057,108316
X519,238,0.013000000000000001,95713
X530,439,0.024,203631
0,,,
X540,158,0.008,60769
X560,135,0.006999999999999999,49183
X650,113,0.006,143379
0,,,
X002,198,0.005,29637
X004,256,0.006,109120
X011,316,0.016,224379
X022,384,0.02,260150
X028,122,0.006,93296
X035,215,0.013999999999999999,153916
X042,133,0.006,69014
X053,165,0.01,226374
X055,92,0.004,65119
X058,238,0.011000000000000001,130344
X063,146,0.006999999999999999,80635
X064,63,0.003,54672
X070,229,0.013000000000000001,317009
X073,107,0.006,98580
X088,197,0.009000000000000001,57526
X090,312,0.015,127851
X109,307,0.018000000000000002,231325
X110,167,0.006999999999999999,70701
X114,150,0.008,115631
X117,228,0.011000000000000001,183094
X126,64,0.003,49188
X128,299,0.019,92956
X132,147,0.005,81760
X145,230,0.011000000000000001,113979
X163,70,0.004,45323
X166,123,0.005,51146
X170,236,0.012,55134
X199,325,0.017,247500
X204,163,0.008,51960
X215,338,0.023,146861
X218,156,0.009000000000000001,130781
X219,139,0.006,65840
X227,399,0.024,155815
X229,110,0.004,36861
X230,418,0.018000000000000002,171245
X231,237,0.015,106261
X232,503,0.024,215171
X236,154,0.006,58946
X239,87,0.005,21975
X241,109,0.006999999999999999,54795
X250,624,0.04,240991
X252,148,0.009000000000000001,57002
X260,271,0.018000000000000002,116692
X263,132,0.009000000000000001,53703
X276,203,0.006,60129
X297,180,0.009000000000000001,76972
X303,395,0.023,137723
X313,209,0.011000000000000001,90425
X323,137,0.008,68431
X324,297,0.018000000000000002,78706
X325,245,0.013000000000000001,114042
X327,187,0.012,52143
X328,351,0.017,89262
X329,50,0.003,18260
X339,146,0.006999999999999999,117869
X365,398,0.025,120180
X403,303,0.017,107784
X404,209,0.011000000000000001,92939
X412,399,0.018000000000000002,176784
X413,199,0.011000000000000001,91127
X414,875,0.039,389501
X443,645,0.036000000000000004,202551
X449,1073,0.048,146990
X454,973,0.042,130373
X457,791,0.045,269779
X505,135,0.008,85334
X517,100,0.006999999999999999,58859
X525,198,0.012,130110
X543,341,0.017,72238
X003,78,0.003,34265
X007,221,0.011000000000000001,121093
X008,97,0.006,114536
X009,65,0.003,43730
X015,62,0.003,35651
X020,110,0.006,118480
X023,204,0.008,118261
X024,133,0.006999999999999999,106727
X032,92,0.005,73776
X033,110,0.006,105225
X037,131,0.006,76921
X045,57,0.003,57599
X046,61,0.003,78272
X051,162,0.006999999999999999,45241
X054,353,0.017,174599
X056,314,0.019,180632
X059,259,0.011000000000000001,144674
X079,230,0.01,64075
X080,124,0.006,76734
X081,106,0.006,72759
X085,426,0.021,508858
X086,99,0.006,175549
X091,101,0.005,73872
X094,120,0.006,108152
X095,100,0.006,123664
X118,86,0.005,99253
X141,96,0.006,125193
0,,,
X159,524,0.02,114838
X205,147,0.009000000000000001,142032
X206,735,0.036000000000000004,286830
X207,115,0.005,49810
X209,360,0.019,90395
X213,479,0.027000000000000003,193459
X225,111,0.008,58823
X226,437,0.021,176460
X228,255,0.008,50561
X237,113,0.006999999999999999,46246
X243,283,0.015,157861
X244,770,0.044000000000000004,572612
X246,55,0.003,43232
X254,173,0.008,79193
X268,839,0.05,384872
X279,161,0.008,154416
X280,146,0.009000000000000001,117399
X284,177,0.011000000000000001,75828
X291,279,0.015,153829
X306,390,0.018000000000000002,282310
X307,380,0.018000000000000002,123001
X308,144,0.006999999999999999,39927
X310,261,0.013000000000000001,181739
X315,120,0.005,27340
X319,158,0.006,32821
X331,404,0.019,153058
X340,116,0.006999999999999999,62969
X342,138,0.008,70195
X344,255,0.012,33135
X360,164,0.01,79137
0,,,
X368,125,0.008,134038
X374,442,0.03,130400
X382,267,0.015,80239
X386,112,0.006,41915
X390,271,0.013999999999999999,148957
X391,170,0.008,118727
X396,529,0.013999999999999999,131831
X397,832,0.048,137239
X399,299,0.013999999999999999,136654
0,,,
0,,,
X433,189,0.01,91295
X434,144,0.006999999999999999,59517
0,,,
X437,404,0.02,150022
X438,184,0.009000000000000001,90932
X439,177,0.009000000000000001,79637
X440,70,0.004,310984
X442,233,0.013000000000000001,84874
X445,127,0.011000000000000001,374500
X447,821,0.039,113323
X459,631,0.031,69419
X475,67,0.003,85969
X477,80,0.005,35783
0,,,
0,,,
X546,213,0.012,89451
X549,189,0.011000000000000001,85336
X660,229,0.013000000000000001,335254
X696,149,0.009000000000000001,52285
X016,105,0.006,66183
X019,85,0.006,44520
X021,284,0.017,263797
X041,126,0.006999999999999999,112462
X068,75,0.003,57566
X076,142,0.009000000000000001,155685
X078,224,0.012,169285
X083,49,0.003,79860
X087,97,0.006,54944
X089,84,0.005,110804
X096,187,0.011000000000000001,195327
X097,96,0.005,68605
X103,174,0.01,203152
X105,91,0.006,133298
X106,224,0.013999999999999999,275617
X108,49,0.003,29107
X111,204,0.009000000000000001,133466
X112,231,0.011000000000000001,131928
0,,,
X121,209,0.013000000000000001,186997
X127,148,0.008,108302
0,,,
X142,103,0.006,98053
X144,75,0.004,79164
X153,65,0.003,38358
X160,158,0.005,75495
X169,974,0.048,144200
X175,265,0.016,100962
X178,134,0.006,61070
X180,83,0.003,57528
X181,218,0.011000000000000001,129038
X189,118,0.006,50702
X194,126,0.008,169126
X249,40,0.002,12464
X253,190,0.012,85874
X265,156,0.01,70040
X270,213,0.013000000000000001,132433
X272,79,0.005,38425
X275,636,0.037000000000000005,344146
X287,157,0.008,50946
X288,136,0.009000000000000001,66188
X289,111,0.006999999999999999,45682
X290,153,0.009000000000000001,71393
X299,143,0.009000000000000001,67121
X322,143,0.009000000000000001,79204
X326,208,0.012,88229
X370,323,0.021,139473
X415,184,0.01,256467
X418,190,0.011000000000000001,77111
0,,,
X455,111,0.006999999999999999,235842
X462,1160,0.057,154345
X468,1078,0.059000000000000004,130444
0,,,
0,,,
0,,,
X513,203,0.013000000000000001,71829
X514,221,0.015,80089
0,,,
0,,,
X541,211,0.012,98609
X542,263,0.018000000000000002,132828
X544,96,0.006,45188
X545,191,0.01,77157
X006,246,0.013000000000000001,184679
X044,105,0.004,36061
X047,238,0.013999999999999999,264714
X050,183,0.008,104893
X057,385,0.019,184519
X061,190,0.009000000000000001,75578
X066,293,0.013000000000000001,176423
X067,242,0.012,179713
X092,79,0.004,42882
X098,257,0.013000000000000001,117768
X102,114,0.006,117871
X129,241,0.013000000000000001,138894
X134,80,0.004,54004
X150,64,0.003,51922
0,,,
X190,150,0.006999999999999999,36071
0,,,
X195,471,0.023,216697
X196,295,0.016,143545
X197,611,0.038,370027
X198,2579,0.054000000000000006,451304
X211,255,0.012,178115
X212,347,0.016,152819
X214,73,0.004,62877
X216,85,0.003,11409
X217,590,0.025,207637
0,,,
X242,216,0.013000000000000001,60556
X245,144,0.008,65222
X248,239,0.013000000000000001,78064
X251,986,0.055,356989
X262,259,0.017,107957
X267,101,0.005,35452
X271,437,0.023,271646
X273,66,0.004,17405
X278,153,0.009000000000000001,50429
X286,363,0.017,85304
X300,210,0.011000000000000001,124763
X316,425,0.024,109244
X318,117,0.005,44169
X341,552,0.028999999999999998,100959
X372,351,0.018000000000000002,99108
X383,161,0.009000000000000001,24564
X384,299,0.015,61084
X388,1040,0.064,224686
0,,,
X463,734,0.037000000000000005,130575
X478,2158,0.095,155351
X479,1150,0.055,96637
X480,191,0.01,68660
0,,,
0,,,
0,,,
0,,,
X550,331,0.019,105279
X680,398,0.018000000000000002,68528
X682,395,0.022000000000000002,203244
X684,247,0.013000000000000001,126490
X690,156,0.008,71817
X691,485,0.024,100335
X692,373,0.021,176252
K003,81,0.005,51428
K008,98,0.006,53130
K009,93,0.004,50195
K011,288,0.019,165303
K020,124,0.006999999999999999,45562
K044,261,0.013999999999999999,115250
K046,255,0.012,95774
K054,119,0.005,33716
K056,93,0.004,27629
K067,98,0.004,22264
K093,161,0.009000000000000001,64593
K103,87,0.005,24129
K113,219,0.013000000000000001,204666
0,,,
K133,137,0.005,38474
K256,111,0.005,42410
0,,,
K265,93,0.005,48320
K266,158,0.008,31795
K270,136,0.006,34289
K282,92,0.006,82193
K287,717,0.027000000000000003,134076
K301,580,0.035,146192
K305,135,0.006999999999999999,48774
K307,163,0.006,44717
K313,300,0.013999999999999999,65102
K336,118,0.006,24101
K350,96,0.006,39350
K412,349,0.022000000000000002,148629
K419,93,0.006,73656
K430,188,0.015,929925
K439,299,0.019,123760
K483,346,0.023,160793
K492,288,0.019,83858
K499,143,0.009000000000000001,99790
K509,45,0.002,14189
K527,326,0.02,103391
K553,142,0.005,30735
K571,71,0.003,15150
K575,287,0.01,32130
K592,129,0.008,14824
K595,175,0.01,59757
K596,126,0.006999999999999999,24546
K605,113,0.006,108366
K616,1811,0.086,382149
K670,34,0.002,27999
K674,1078,0.059000000000000004,133665
0,,,
K016,223,0.011000000000000001,79298
K017,100,0.004,38974
K018,180,0.009000000000000001,39405
K019,223,0.01,92512
K023,438,0.022000000000000002,138852
K031,95,0.005,51496
0,,,
K034,134,0.008,65714
0,,,
K050,268,0.013999999999999999,144642
K059,324,0.017,149928
K071,113,0.005,102781
K084,139,0.006,63727
K110,189,0.009000000000000001,68192
K120,203,0.011000000000000001,101837
K126,280,0.012,117463
K132,89,0.005,65575
K147,260,0.011000000000000001,65547
K157,99,0.005,38597
K196,158,0.006999999999999999,65151
K250,70,0.004,56927
K257,70,0.003,39606
K297,87,0.004,28286
K318,118,0.008,189964
K319,278,0.015,50325
K322,701,0.035,156332
K330,71,0.003,10141
K380,168,0.008,92733
K404,231,0.016,86808
K449,244,0.015,68692
K454,139,0.009000000000000001,48570
K474,191,0.013000000000000001,187840
K477,124,0.008,103445
K478,292,0.017,258531
K488,240,0.013000000000000001,84125
K558,122,0.008,48723
K561,66,0.004,31734
K577,191,0.012,80096
K582,184,0.011000000000000001,58656
K586,645,0.035,312201
K610,334,0.019,328426
K614,147,0.006999999999999999,18680
K632,723,0.035,79540
0,,,
K685,157,0.006999999999999999,30974
K001,130,0.008,151901
K010,95,0.005,69008
K015,150,0.006,58608
K024,446,0.021,342214
K027,520,0.012,86365
K029,123,0.008,82497
K032,153,0.004,46836
K038,97,0.005,47977
K039,94,0.006,32217
K051,57,0.004,60549
K058,328,0.019,232216
K088,86,0.004,75541
K094,574,0.039,652241
K107,361,0.021,172575
K124,143,0.006999999999999999,45799
K130,287,0.017,160407
K131,116,0.008,107840
K136,579,0.027000000000000003,286964
K146,83,0.004,49217
K154,133,0.008,59168
K169,424,0.026000000000000002,536442
K172,250,0.013999999999999999,146586
K230,119,0.006999999999999999,145985
K261,100,0.006,81763
K295,152,0.008,60671
K321,94,0.006,124181
0,,,
0,,,
0,,,
K429,101,0.005,50014
K442,98,0.004,19875
K443,254,0.016,115362
K447,68,0.004,36222
K448,95,0.005,67174
K462,153,0.009000000000000001,85106
K463,167,0.009000000000000001,73778
K464,191,0.011000000000000001,91294
K497,409,0.02,181858
K519,101,0.006,72683
K520,208,0.009000000000000001,45021
K529,53,0.002,10553
K530,46,0.003,18574
K656,41,0.003,24641
K667,157,0.009000000000000001,58159
K676,79,0.003,11010
0,,,
K698,184,0.006999999999999999,27823
K821,265,0.017,134416
K005,268,0.013000000000000001,123182
K021,50,0.003,35338
K025,781,0.03,284390
K026,104,0.005,35615
K028,384,0.013999999999999999,102657
K035,86,0.004,19785
K040,335,0.016,126170
K057,302,0.013000000000000001,72207
K081,82,0.004,36851
0,,,
K243,168,0.006999999999999999,60876
K262,303,0.016,111175
K267,101,0.004,31839
0,,,
K308,47,0.002,33840
K309,189,0.008,64679
K335,72,0.003,31342
K385,125,0.005,31558
K393,102,0.006,51354
K455,139,0.009000000000000001,319001
K498,341,0.017,143708
K534,365,0.016,85430
K584,460,0.022000000000000002,123664
K594,224,0.012,47298
K627,270,0.013999999999999999,29739
K628,169,0.01,18617
K636,523,0.026000000000000002,121898
K688,875,0.053,88367
K002,168,0.006,67034
K006,113,0.006,74354
K012,658,0.025,191584
K022,156,0.006999999999999999,80393
K061,126,0.008,146432
K091,236,0.011000000000000001,186936
K092,74,0.004,46345
0,,,
K138,117,0.006,110360
K161,99,0.006999999999999999,89485
K167,122,0.006,63443
K181,108,0.006,130946
K189,262,0.018000000000000002,318737
K191,195,0.008,49491
K221,77,0.004,48785
K241,325,0.017,191276
K246,367,0.015,217822
K249,86,0.005,62311
K289,100,0.005,72193
K316,547,0.02,141228
K334,240,0.011000000000000001,56070
K340,191,0.012,54308
K352,217,0.01,90621
K353,748,0.028999999999999998,112998
K354,148,0.006,34434
K375,195,0.01,107886
K382,189,0.012,113062
0,,,
0,,,
K394,230,0.013000000000000001,164634
K397,366,0.021,153400
K398,214,0.008,76929
K399,252,0.016,121303
K408,428,0.026000000000000002,134350
0,,,
0,,,
0,,,
0,,,
0,,,
K484,55,0.003,8532
K489,175,0.006,45201
K524,305,0.018000000000000002,133373
K528,294,0.018000000000000002,120774
K531,127,0.006999999999999999,49543
K533,229,0.013999999999999999,103109
K537,222,0.013000000000000001,93183
K539,304,0.018000000000000002,125592
K543,119,0.006999999999999999,58186
K544,316,0.018000000000000002,150547
K546,183,0.012,70979
K547,150,0.008,66855
K548,268,0.016,110095
K568,245,0.008,54121
K587,377,0.017,127959
K590,44,0.003,41240
K600,245,0.015,484914
K625,149,0.009000000000000001,151575
0,,,
0,,,
K066,143,0.009000000000000001,106872
K068,158,0.009000000000000001,158021
K114,110,0.006,92766
K115,173,0.011000000000000001,215967
K135,186,0.01,142998
K208,187,0.011000000000000001,116794
K211,145,0.008,119010
K219,157,0.008,132594
0,,,
K233,128,0.006999999999999999,91370
K235,172,0.012,238558
K244,154,0.006999999999999999,134818
0,,,
K268,107,0.006,62065
K272,128,0.006,91490
K276,155,0.009000000000000001,135574
K279,124,0.006,79015
K285,73,0.005,71656
K366,458,0.016,47212
K415,230,0.009000000000000001,64123
K500,66,0.004,54511
K515,202,0.005,23082
K563,524,0.027000000000000003,151472
K566,142,0.006999999999999999,31206
K567,286,0.016,71576
K569,430,0.024,96704
K576,627,0.035,154199
K578,375,0.017,80286
K581,183,0.01,45999
K588,297,0.017,99759
K589,191,0.011000000000000001,39820
K598,649,0.037000000000000005,197913
K617,184,0.01,30586
K629,323,0.017,49070
K633,281,0.018000000000000002,65357
K635,625,0.03,124305
K637,622,0.032,80799
K642,691,0.037000000000000005,117490
K673,713,0.044000000000000004,106924
K007,132,0.008,126393
K013,355,0.016,200997
K065,408,0.024,238448
K072,126,0.005,45442
K089,208,0.011000000000000001,56896
K108,129,0.008,123673
K149,255,0.015,199380
K158,196,0.01,115093
K159,152,0.009000000000000001,140164
K166,300,0.015,167653
K171,94,0.006,78559
K174,186,0.009000000000000001,85603
K190,200,0.008,57287
K202,100,0.006,97567
K213,164,0.008,74658
K214,204,0.012,227984
K218,80,0.004,51342
K224,284,0.016,243311
K260,117,0.006,42351
K273,160,0.008,73385
K290,59,0.003,34956
K292,54,0.003,36252
K302,281,0.015,285881
K306,270,0.013000000000000001,190376
K311,86,0.005,20726
0,,,
K328,110,0.005,62743
K345,185,0.01,134849
K346,83,0.005,64871
K364,92,0.005,36580
K409,154,0.01,68937
K420,99,0.006,101153
0,,,
K452,209,0.011000000000000001,44368
K502,41,0.003,17310
K504,328,0.02,145356
K507,319,0.02,140157
K510,259,0.016,103519
K583,587,0.036000000000000004,201848
K615,362,0.022000000000000002,558215
K618,447,0.024,92111
K639,365,0.02,76932
K659,301,0.02,126505
K660,383,0.02,368620
K677,959,0.053,303142
K678,1791,0.08,150450
K683,783,0.045,129941
0,,,
K030,61,0.003,20959
K048,212,0.013000000000000001,138904
K062,166,0.01,200021
K069,187,0.011000000000000001,164312
K102,204,0.013000000000000001,241605
K104,336,0.022000000000000002,435548
K105,261,0.017,419398
K112,100,0.006,46864
K127,188,0.01,80068
K160,279,0.018000000000000002,236293
K163,209,0.01,98503
K164,223,0.008,103432
K170,79,0.005,63129
K176,222,0.013000000000000001,252798
K179,83,0.005,73562
K180,249,0.013999999999999999,304035
K185,78,0.005,64713
K186,143,0.009000000000000001,124296
K187,190,0.012,189989
K192,362,0.013999999999999999,216771
K200,112,0.008,147108
K201,174,0.012,265554
K204,70,0.005,71667
K205,232,0.01,206254
K220,553,0.034,713683
K223,206,0.009000000000000001,123026
K227,218,0.013000000000000001,297718
K229,98,0.006999999999999999,76291
K247,377,0.024,263403
K259,203,0.013999999999999999,286773
0,,,
0,,,
0,,,
K445,180,0.013000000000000001,527713
K485,169,0.011000000000000001,218460
K490,153,0.011000000000000001,655437
K503,84,0.005,71217
K505,116,0.008,404422
K506,411,0.025,317890
K609,157,0.009000000000000001,33274
K682,350,0.017,42347
K686,534,0.03,57667
0,,,
0,,,
K090,167,0.008,84500
K095,78,0.005,79456
K096,296,0.017,296467
K097,162,0.01,129325
K098,248,0.019,273552
K099,276,0.016,192620
K100,243,0.015,169183
K101,201,0.013999999999999999,172024
K121,231,0.011000000000000001,57820
K128,538,0.026000000000000002,204816
K153,111,0.006,59228
K177,174,0.011000000000000001,156588
K188,213,0.011000000000000001,117787
K199,136,0.006,71527
K209,184,0.01,134789
K212,246,0.013000000000000001,145647
K215,206,0.012,152037
K216,199,0.01,90517
K225,126,0.006,114738
