,per_student_2007,percent_of_all_expenditures_2007,total_expenditure_2007
M015,201,0.009000000000000001,48841
M019,295,0.015,91968
M020,227,0.013000000000000001,148591
M034,147,0.008,58326
0,,,
M063,297,0.012,64652
M064,221,0.01,62299
M110,365,0.021,171447
M134,320,0.015,111321
M137,670,0.025,170904
M140,226,0.013000000000000001,109820
M142,146,0.006999999999999999,64394
M184,238,0.018000000000000002,131126
M188,529,0.027000000000000003,227602
M292,204,0.015,88421
M301,314,0.022000000000000002,64993
M315,324,0.018000000000000002,54763
M332,260,0.02,66530
M345,178,0.011000000000000001,50455
M361,188,0.01,46354
M363,322,0.02,85650
M364,275,0.02,86361
0,,,
M448,214,0.016,114326
M450,167,0.011000000000000001,94115
0,,,
M509,389,0.019,240597
M515,478,0.027000000000000003,243777
M539,194,0.015,170123
M650,531,0.032,112010
M696,448,0.035,244783
M839,224,0.016,74702
M001,135,0.009000000000000001,81809
M002,119,0.006999999999999999,84464
M003,236,0.016,130218
M006,113,0.008,90071
M011,171,0.01,84256
M033,242,0.012,80010
M040,120,0.008,65893
M041,90,0.006999999999999999,67059
M042,303,0.019,214780
M047,420,0.013999999999999999,88943
M051,184,0.011000000000000001,60499
M059,144,0.011000000000000001,62006
M077,191,0.013999999999999999,67201
M089,232,0.013999999999999999,119694
M104,149,0.012,157531
M111,130,0.006999999999999999,71510
M114,187,0.016,67009
M116,142,0.011000000000000001,103888
M124,141,0.01,142299
M126,168,0.01,118532
M130,177,0.013999999999999999,192000
M131,213,0.013000000000000001,187180
M150,179,0.009000000000000001,32285
0,,,
M158,166,0.012,119930
M167,158,0.013000000000000001,206311
M183,149,0.011000000000000001,89261
M198,164,0.01,86706
M212,207,0.013999999999999999,73187
M217,325,0.019,150269
M225,487,0.026000000000000002,132487
M234,139,0.011000000000000001,96897
M255,126,0.011000000000000001,45609
M260,251,0.019,61829
0,,,
0,,,
M288,510,0.035,165185
M289,140,0.011000000000000001,41278
M290,206,0.017,138303
M294,389,0.027000000000000003,105051
M296,73,0.005,22178
M298,717,0.057,222145
M300,320,0.025,98331
M303,579,0.039,124965
M305,276,0.019,46883
M308,484,0.027000000000000003,78426
M312,164,0.013999999999999999,96820
M313,353,0.025,43814
M316,114,0.009000000000000001,23425
M347,906,0.02,162158
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
0,,,
M400,136,0.011000000000000001,197391
M407,290,0.025,119290
M408,118,0.008,47515
M411,126,0.011000000000000001,52119
M412,171,0.013999999999999999,80754
M413,148,0.011000000000000001,103298
M414,138,0.01,52530
M416,431,0.023,206656
M418,216,0.013000000000000001,112358
M419,158,0.011000000000000001,68138
M420,153,0.012,225796
0,,,
M425,285,0.026000000000000002,194953
0,,,
M429,294,0.015,105951
0,,,
0,,,
0,,,
M439,314,0.019,126156
M440,126,0.009000000000000001,238596
M442,252,0.013999999999999999,39516
0,,,
M449,582,0.032,222141
M459,359,0.023,122431
M460,88,0.006,228801
M475,84,0.006999999999999999,253247
M489,130,0.008,101494
M500,148,0.008,30670
0,,,
M519,146,0.011000000000000001,76026
M520,137,0.009000000000000001,399693
M529,115,0.008,79178
M531,338,0.016,63462
0,,,
M542,783,0.047,328047
M543,274,0.018000000000000002,106523
M544,494,0.03,237503
M545,222,0.013000000000000001,59832
M550,154,0.009000000000000001,80507
0,,,
M560,98,0.006,72377
M565,608,0.023,79624
M570,337,0.021,289938
M575,937,0.069,821341
M580,178,0.012,117807
M586,674,0.02,62039
M600,169,0.012,282168
M605,122,0.006999999999999999,20833
M615,327,0.022000000000000002,317200
M620,185,0.012,400637
M625,288,0.019,531075
M630,157,0.011000000000000001,225359
M655,253,0.019,182334
M690,307,0.017,114329
M896,107,0.008,23058
M009,235,0.017,115877
