,per_student_2011,percent_of_all_expenditures_2011,total_expenditure_2011
M015,134,0.005,27241
M019,121,0.006,39838
M020,118,0.006,73518
M034,665,0.027999999999999997,261254
M056,,,
M063,218,0.006999999999999999,39470
M064,195,0.008,62701
M110,48,0.003,20762
M134,299,0.013999999999999999,110883
M137,153,0.005,35389
M140,170,0.008,67590
M142,73,0.003,31185
M184,229,0.016,156604
M188,251,0.012,100728
M292,356,0.019,159376
M301,121,0.005,22512
M315,204,0.01,43311
M332,1033,0.034,119871
M345,466,0.022000000000000002,122197
M361,103,0.005,25921
M363,44,0.002,14086
M364,48,0.003,16339
M378,426,0.023,113317
M448,509,0.027000000000000003,248593
M450,164,0.009000000000000001,98436
M458,427,0.026000000000000002,91002
M509,147,0.006999999999999999,54229
M515,309,0.017,177300
M539,66,0.005,103706
M650,54,0.003,10964
M696,174,0.012,102487
M839,177,0.01,68902
M001,85,0.004,46087
M002,331,0.019,275177
M003,158,0.009000000000000001,113745
M006,130,0.008,105340
M011,269,0.013999999999999999,170578
M033,141,0.006999999999999999,53609
M040,135,0.008,79567
M041,45,0.003,34215
M042,158,0.009000000000000001,128382
M047,448,0.013000000000000001,70332
M051,95,0.005,32285
M059,212,0.013000000000000001,106393
M077,117,0.006999999999999999,41342
M089,227,0.013000000000000001,118826
M104,109,0.006999999999999999,107984
M111,74,0.004,45593
M114,146,0.011000000000000001,63415
M116,210,0.013000000000000001,165164
M124,103,0.006,94948
M126,95,0.005,74195
M130,153,0.01,156095
M131,122,0.006,85980
M150,88,0.004,16369
M151,595,0.016,105315
M158,198,0.012,146606
M167,38,0.003,46806
M183,85,0.005,54742
M198,49,0.003,28130
M212,209,0.013000000000000001,71713
M217,48,0.003,19952
M225,291,0.016,95034
M234,87,0.006,73914
M255,332,0.021,128991
M260,288,0.012,78727
M267,3559,0.147,163724
M276,167,0.012,55151
M288,619,0.033,261969
M289,124,0.006999999999999999,35449
M290,53,0.003,34010
M294,426,0.023,139663
M296,399,0.025,155777
M298,458,0.027999999999999997,189131
M300,438,0.024,171968
